xxx	0	0	0.0	0	0	0	0	0
Proceedings	of	1	0.0	0.82	2	4	0	0
Language-Aware	Truth	0	0.0	1.3	2	2	0	0
Ndapandula	Nakashole	0	0.0	1.09	2	2	0	0
Tom	M.	0	0.0	1.09	2	1	0	0
$$$	Abstract	0	0.0	1.09	5	6	0	0
xxx	0	0	0.0	0	0	0	0	0
This	paper	6	0.0	0.99	2	4	0	0
1	Introduction	0	0.0	1.09	1	2	0	1
xxx	0	0	0.0	0	0	0	0	0
Truth-finding	algorithms	8	0.0	0.99	2	4	0	0
creasingly	important	19	0.0	0.99	4	4	0	0
$$$	1009	0	0.0	0.99	5	4	0	0
a	source	16	0.0	0.99	4	4	0	0
2	Fact	0	0.0	1.09	1	2	0	1
xxx	0	0	0.0	0	0	0	0	0
In	this	2	0.0	0.99	2	4	0	0
2.1	Representation	0	0.0	0.99	1	2	0	0
The	triple	1	0.0	0.99	2	4	0	0
cation	of	0	0.0	0.99	4	4	0	0
1	.	4	0.0	0.99	1	3	0	0
Definition	1	0	0.0	0.99	2	1	0	0
i	is	3	0.0	0.98	1	4	0	0
Note	that	0	0.0	0.99	2	4	0	0
i	)	3	0.0	0.99	1	3	0	0
2.2	Semantics	0	0.0	0.99	1	2	0	1
Based	on	11	0.0	0.99	2	4	0	0
1	http://www.w3.org/TR/rdf-primer/	0	0.0	0.68	1	3	0	0
$$$	1010	0	0.0	0.99	5	4	0	0
base	containing	17	0.0	0.99	4	4	0	0
2.3	Alternative	0	0.0	0.99	1	2	0	1
Truth-finding	methods	0	0.0	0.99	2	4	0	0
i	relative	5	0.0	0.99	1	4	0	0
On	the	5	0.0	0.99	2	4	0	0
Definition	2	0	0.0	0.99	2	1	0	0
1	)	3	0.0	0.96	1	3	0	0
We	use	11	0.0	0.98	2	4	0	0
3	Objectivity	0	0.0	1.09	1	2	0	1
xxx	0	0	0.0	0	0	0	0	0
The	principle	4	0.0	0.99	2	4	0	0
2	http://en.wikipedia.org/wiki/Wikipedia:Neutral	0	0.0	0.76	1	3	0	0
$$$	1011	0	0.0	0.99	5	4	0	0
to	indicate	3	0.0	0.99	4	4	0	0
(S)	Well,	2	0.0	0.99	1	2	0	0
Text	S	7	0.0	0.99	2	1	0	0
Hypothesis	1	2	0.0	0.99	2	1	0	0
To	test	1	0.0	0.99	2	4	0	0
3.1	Mechanical	0	0.0	0.99	1	2	0	0
We	deployed	0	0.0	0.99	2	4	0	0
3	,	3	0.0	0.99	1	3	0	0
3	http://www.mturk.com	0	0.0	0.68	1	3	0	0
Figure	1:	0	0.0	0.99	0	3	0	0
asked	to	8	0.0	0.99	4	4	0	0
A	summary	6	0.0	0.99	1	4	0	0
3.2	Automatic	0	0.0	0.99	1	2	0	1
We	trained	4	0.0	0.99	2	4	0	0
$$$	1012	0	0.0	0.99	5	4	0	0
#	Feature	2	0.0	0.99	3	2	0	0
Table	1:	0	0.0	0.99	0	3	0	0
training,	2000	12	0.0	0.99	3	4	0	0
4	Believability	0	0.0	1.09	1	2	0	1
xxx	0	0	0.0	0	0	0	0	0
FactChecker	computes	3	0.0	0.98	2	4	0	0
Approach	Accuracy	0	0.0	0.99	2	2	0	0
Table	2:	0	0.0	0.99	0	3	0	0
D	i	0	0.0	0.95	1	1	0	0
Definition	3	0	0.0	0.99	2	1	0	0
O(f	i	0	0.0	0.81	2	1	0	0
O(d	k	0	0.0	0.9	2	4	0	0
|D	i	0	0.0	0.92	3	1	0	0
We	do	12	0.0	0.98	2	4	0	0
Definition	4	0	0.0	0.99	2	1	0	0
(f	i	0	0.0	0.92	3	1	0	0
f	j	0	0.0	0.66	4	4	0	0
w	ij	0	0.0	0.9	4	4	0	0
Where	(f	0	0.0	0.99	2	3	0	0
i	)	0	0.0	0.97	1	3	0	0
i	.	2	0.0	0.97	1	3	0	0
w	ij	1	0.0	0.91	4	4	0	0
$$$	1013	0	0.0	0.99	5	4	0	0
where	O(d	0	0.0	0.99	4	2	0	0
k	)	0	0.0	0.96	4	3	0	0
k	,	0	0.0	0.9	4	3	0	0
i	and	0	0.0	0.9	1	4	0	0
j	are	15	0.0	0.98	4	4	0	0
Definition	5	0	0.0	0.99	2	1	0	0
(f	i	0	0.0	0.93	3	1	0	0
Where	is	3	0.0	0.99	2	4	0	0
5	Evaluation	0	0.0	1.09	1	2	0	1
xxx	0	0	0.0	0	0	0	0	0
We	evaluated	3	0.0	0.98	2	4	0	0
Algorithm	1	6	0.0	0.95	2	1	0	0
Acc	=	1	0.0	0.81	2	3	0	0
|{(f	i	1	0.0	0.93	3	1	0	0
Datasets.	We	11	0.0	0.99	2	2	0	0
$$$	1014	0	0.0	0.99	5	4	0	0
#Candidates	#Alternatives	1	0.0	0.99	3	3	0	0
Table	3:	0	0.0	0.99	0	3	0	0
from	the	16	0.0	0.99	4	4	0	0
5.1	Accuracy	0	0.0	0.99	1	2	0	1
Figure	2	1	0.0	0.99	0	1	0	0
4	http://www.indiabix.com/general-knowledge/	0	0.0	0.68	1	3	0	0
Figure	2:	0	0.0	0.99	0	3	0	0
Figure	3:	0	0.0	0.99	0	3	0	0
other	approaches	6	0.0	0.99	4	4	0	0
5.2	Accuracy	0	0.0	0.99	1	2	0	1
To	quantify	3	0.0	0.99	2	4	0	0
$$$	1015	0	0.0	0.99	5	4	0	0
Approach	WKP	1	0.0	0.99	2	2	0	0
Table	4:	0	0.0	0.99	0	3	0	0
last	variation	3	0.0	0.99	4	4	0	0
5.3	Accuracy	0	0.0	0.99	1	2	0	1
Table	4,	4	0.0	0.99	0	3	0	0
5.4	Accuracy	0	0.0	0.99	1	2	0	1
Table	4,	5	0.0	0.99	0	3	0	0
Sample	fact	0	0.0	0.99	2	4	0	0
Figure	4:	0	0.0	0.99	0	3	0	0
5.5	Parameter	0	0.0	0.99	1	2	0	1
We	analyzed	3	0.0	0.99	2	4	0	0
5.6	Discussion	0	0.0	0.99	1	2	0	1
Overall,	from	7	0.0	0.99	2	4	0	0
6	Related	0	0.0	1.09	1	2	0	1
xxx	0	0	0.0	0	0	0	0	0
There	is	6	0.0	0.99	2	4	0	0
$$$	1016	0	0.0	0.99	5	4	0	0
xxx	0	0	0.0	0	0	0	0	0
Dataset	Fact	3	0.0	0.82	2	2	0	0
Table	5:	1	0.0	0.99	0	3	0	0
ness	of	16	0.0	0.99	4	4	0	0
In	a	0	0.0	0.99	2	4	0	0
computation	model.	5	0.0	0.99	4	4	0	0
7	Conclusion	0	0.0	1.09	1	2	0	1
xxx	0	0	0.0	0	0	0	0	0
In	this	5	0.0	0.99	2	4	0	0
$$$	Acknowledgments	0	0.0	1.09	5	2	0	0
xxx	0	0	0.0	0	0	0	0	0
We	thank	1	0.0	0.99	2	4	0	0
$$$	1017	0	0.0	0.99	5	4	0	0
$$$	References	0	0.0	1.09	5	6	0	0
xxx	0	0	0.0	0	0	0	0	0
S.	Auer,	2	0.0	0.91	1	2	0	0
B.	T.	1	0.0	0.91	1	1	0	0
M.	Banko,	2	0.0	0.91	1	2	0	0
K.	D.	2	0.0	0.91	1	1	0	0
L.	D.	1	0.0	0.91	1	1	0	0
E.	Cabrio,	2	0.0	0.91	1	2	0	0
A.	Carlson,	2	0.0	0.91	1	2	0	0
L.	Del	1	0.0	0.91	1	2	0	0
X.	Dong,	1	0.0	0.91	1	2	0	0
A.	Fader,	2	0.0	0.91	1	2	0	0
A.	Galland,	2	0.0	0.91	1	2	0	0
C.	Havasi,	2	0.0	0.91	1	2	0	0
J.	Hoffart,	2	0.0	0.91	1	2	0	0
R.	Kaplan:	1	0.0	0.91	1	2	0	0
X.	Li	1	0.0	0.91	1	2	0	0
D.	Lin,	0	0.0	0.91	1	2	0	0
B.	Liu,	1	0.0	0.91	1	2	0	0
A.	Lotan,	2	0.0	0.91	1	2	0	0
N.	Nakashole,	2	0.0	0.91	1	2	0	0
N.	Nakashole,	2	0.0	0.91	1	2	0	0
N.	Nakashole,	2	0.0	0.91	1	2	0	0
V.	Nastase,	2	0.0	0.91	1	2	0	0
B.	Pang,	0	0.0	0.91	1	2	0	0
$$$	1018	0	0.0	0.99	5	4	0	0
on	Minimum	1	0.0	0.91	4	2	0	0
J.	Pasternack,	1	0.0	0.91	1	2	0	0
J.	Pasternack,	1	0.0	0.91	1	2	0	0
E.	Riloff,	1	0.0	0.91	1	2	0	0
M.	Recasens,	2	0.0	0.91	1	2	0	0
F.	Niu,	1	0.0	0.91	1	2	0	0
M.	Schudson:	1	0.0	0.91	1	2	0	0
F.	M.	2	0.0	0.91	1	1	0	0
P.	P.	2	0.0	0.91	1	1	0	0
P.	D.	2	0.0	0.91	1	1	0	0
J.	Wiebe,	1	0.0	0.91	1	2	0	0
X.	Yin,	2	0.0	0.91	1	2	0	0
X.	Yin,	1	0.0	0.91	1	2	0	0
H.	Yu,	2	0.0	0.91	1	2	0	0
B.	Zhao,	2	0.0	0.91	1	2	0	0
$$$	1019	0	0.0	0.99	5	4	0	0

