Topological	1	0.0	0.11	0.85	1	0	0	71.3524	0	0	2
chaos	1	0.0	0.11	0.85	0	0	0	71.3524	0	0	0
and	1	0.0	0.11	0.85	0	0	1	71.3524	0	0	0
chaotic	1	0.0	0.11	0.85	0	0	0	71.3524	0	0	0
iterations	1	0.0	0.11	0.85	0	0	0	71.3524	0	0	0
Application	1	0.0	0.16	0.85	1	0	0	91.2723	0	0	0
to	1	0.0	0.16	0.85	0	0	0	91.2723	0	0	0
Hash	1	0.0	0.16	0.85	1	0	0	91.2723	0	0	0
functions	1	0.0	0.16	0.85	0	0	0	91.2723	0	0	0
00	00	00	00	00	00	00	00	00	00	00	00
Christophe	0	0.0	0.21	0.55	1	0	0	126.675	0	0	0
Guyeux	0	0.0	0.21	0.55	1	0	0	126.675	0	0	0
Jacques	0	0.01	0.26	0.55	1	0	0	139.995	0	0	0
M.	0	0.01	0.26	0.55	1	0	0	139.995	0	0	0
Bahi,	0	0.01	0.26	0.55	1	1	0	139.995	0	0	0
Senior	0	0.01	0.26	0.55	1	0	1	139.995	0	0	0
Member	0	0.01	0.26	0.55	1	0	1	139.995	0	0	0
IEEE	0	0.01	0.26	0.55	1	0	0	139.995	0	0	0
00	00	00	00	00	00	00	00	00	00	00	00
Abstract	1	0.01	0.32	0.45	1	0	0	176.396	0	0	0
This	1	0.01	0.32	0.45	1	0	0	176.396	0	0	0
paper	1	0.01	0.32	0.45	0	0	0	176.396	0	0	0
introduces	1	0.01	0.32	0.45	0	0	0	176.396	0	0	0
a	1	0.01	0.32	0.45	0	0	0	176.396	0	0	0
new	1	0.01	0.32	0.45	0	0	0	176.396	0	0	0
notion	1	0.01	0.32	0.45	0	0	0	176.396	0	0	0
of	1	0.01	0.32	0.45	0	0	1	176.396	0	0	0
chaotic	1	0.01	0.32	0.45	0	0	0	176.396	0	0	0
algorithms.	1	0.01	0.37	0.45	0	0	0	186.356	0	0	0
These	1	0.01	0.37	0.45	1	0	0	186.356	0	0	0
algorithms	1	0.01	0.37	0.45	0	0	0	186.356	0	0	0
are	1	0.01	0.37	0.45	0	0	0	186.356	0	0	0
iterative	1	0.01	0.37	0.45	0	0	0	186.356	0	0	0
and	1	0.01	0.37	0.45	0	0	1	186.356	0	0	0
are	1	0.01	0.37	0.45	0	0	0	186.356	0	0	0
based	1	0.01	0.37	0.45	0	0	0	186.356	0	0	0
on	1	0.01	0.37	0.45	0	0	0	186.356	0	0	0
so-called	1	0.01	0.42	0.45	0	0	0	196.316	0	0	0
chaotic	1	0.01	0.42	0.45	0	0	0	196.316	0	0	0
iterations.	1	0.01	0.42	0.45	0	0	0	196.316	0	0	0
Contrary	1	0.01	0.42	0.45	1	0	0	196.316	0	0	0
to	1	0.01	0.42	0.45	0	0	0	196.316	0	0	0
all	1	0.01	0.42	0.45	0	0	0	196.316	0	0	0
existing	1	0.01	0.42	0.45	0	0	0	196.316	0	0	0
studies	1	0.01	0.42	0.45	0	0	0	196.316	0	0	0
on	1	0.01	0.47	0.45	0	0	0	206.276	0	0	0
chaotic	1	0.01	0.47	0.45	0	0	0	206.276	0	0	0
iterations,	1	0.01	0.47	0.45	0	1	0	206.276	0	0	0
we	1	0.01	0.47	0.45	0	0	0	206.276	0	0	0
are	1	0.01	0.47	0.45	0	0	0	206.276	0	0	0
not	1	0.01	0.47	0.45	0	0	0	206.276	0	0	0
interested	1	0.01	0.47	0.45	0	0	0	206.276	0	0	0
in	1	0.01	0.47	0.45	0	0	0	206.276	0	0	0
stable	1	0.01	0.47	0.45	0	0	0	206.276	0	0	0
states	1	0.01	0.47	0.45	0	0	0	206.276	0	0	0
of	1	0.01	0.47	0.45	0	0	1	206.276	0	0	0
such	1	0.01	0.53	0.45	0	0	0	216.236	0	0	0
iterations	1	0.01	0.53	0.45	0	0	0	216.236	0	0	0
but	1	0.01	0.53	0.45	0	0	0	216.236	0	0	0
in	1	0.01	0.53	0.45	0	0	0	216.236	0	0	0
their	1	0.01	0.53	0.45	0	0	0	216.236	0	0	0
possible	1	0.01	0.53	0.45	0	0	0	216.236	0	0	0
unpredictable	1	0.01	0.53	0.45	0	0	0	216.236	0	0	0
behaviors.	1	0.01	0.53	0.45	0	0	0	216.236	0	0	0
By	1	0.01	0.53	0.45	1	0	0	216.236	0	0	0
establishing	1	0.01	0.58	0.45	0	0	0	226.196	0	0	0
a	1	0.01	0.58	0.45	0	0	0	226.196	0	0	0
link	1	0.01	0.58	0.45	0	0	0	226.196	0	0	0
between	1	0.01	0.58	0.45	0	0	0	226.196	0	0	0
chaotic	1	0.01	0.58	0.45	0	0	0	226.196	0	0	0
iterations	1	0.01	0.58	0.45	0	0	0	226.196	0	0	0
and	1	0.01	0.58	0.45	0	0	1	226.196	0	0	0
the	1	0.01	0.58	0.45	0	0	0	226.196	0	0	0
notion	1	0.01	0.58	0.45	0	0	0	226.196	0	0	0
of	1	0.01	0.58	0.45	0	0	1	226.196	0	0	0
Devaneys	1	0.01	0.63	0.45	1	0	0	236.156	0	0	0
topological	1	0.01	0.63	0.45	0	0	0	236.156	0	0	0
chaos,	1	0.01	0.63	0.45	0	1	0	236.156	0	0	0
we	1	0.01	0.63	0.45	0	0	0	236.156	0	0	0
give	1	0.01	0.63	0.45	0	0	0	236.156	0	0	0
conditions	1	0.01	0.63	0.45	0	0	0	236.156	0	0	0
ensuring	1	0.01	0.63	0.45	0	0	0	236.156	0	0	0
that	1	0.01	0.63	0.45	0	0	0	236.156	0	0	0
these	1	0.02	0.68	0.45	0	0	0	246.116	0	0	0
kind	1	0.02	0.68	0.45	0	0	0	246.116	0	0	0
of	1	0.02	0.68	0.45	0	0	1	246.116	0	0	0
algorithms	1	0.02	0.68	0.45	0	0	0	246.116	0	0	0
produce	1	0.02	0.68	0.45	0	0	0	246.116	0	0	0
topological	1	0.02	0.68	0.45	0	0	0	246.116	0	0	0
chaos.	1	0.02	0.68	0.45	0	0	0	246.116	0	0	0
This	1	0.02	0.68	0.45	1	0	0	246.116	0	0	0
leads	1	0.02	0.68	0.45	0	0	0	246.116	0	0	0
to	1	0.02	0.74	0.45	0	0	0	256.076	0	0	0
algorithms	1	0.02	0.74	0.45	0	0	0	256.076	0	0	0
that	1	0.02	0.74	0.45	0	0	0	256.076	0	0	0
are	1	0.02	0.74	0.45	0	0	0	256.076	0	0	0
highly	1	0.02	0.74	0.45	0	0	0	256.076	0	0	0
unpredictable.	1	0.02	0.74	0.45	0	0	0	256.076	0	0	0
After	1	0.02	0.74	0.45	1	0	0	256.076	0	0	0
presenting	1	0.02	0.74	0.45	0	0	0	256.076	0	0	0
the	1	0.02	0.79	0.45	0	0	0	266.036	0	0	0
theoretical	1	0.02	0.79	0.45	0	0	0	266.036	0	0	0
foundations	1	0.02	0.79	0.45	0	0	0	266.036	0	0	0
of	1	0.02	0.79	0.45	0	0	1	266.036	0	0	0
our	1	0.02	0.79	0.45	0	0	0	266.036	0	0	0
approach,	1	0.02	0.79	0.45	0	1	0	266.036	0	0	0
we	1	0.02	0.79	0.45	0	0	0	266.036	0	0	0
are	1	0.02	0.79	0.45	0	0	0	266.036	0	0	0
interested	1	0.02	0.79	0.45	0	0	0	266.036	0	0	0
in	1	0.02	0.84	0.45	0	0	0	275.996	0	0	0
its	1	0.02	0.84	0.45	0	0	0	275.996	0	0	0
practical	1	0.02	0.84	0.45	0	0	0	275.996	0	0	0
aspects.	1	0.02	0.84	0.45	0	0	0	275.996	0	0	0
We	1	0.02	0.84	0.45	1	0	0	275.996	0	0	0
show	1	0.02	0.84	0.45	0	0	0	275.996	0	0	0
how	1	0.02	0.84	0.45	0	0	0	275.996	0	0	0
the	1	0.02	0.84	0.45	0	0	0	275.996	0	0	0
theoretical	1	0.02	0.84	0.45	0	0	0	275.996	0	0	0
algorithms	1	0.02	0.84	0.45	0	0	0	275.996	0	0	0
give	1	0.02	0.89	0.45	0	0	0	285.956	0	0	0
rise	1	0.02	0.89	0.45	0	0	0	285.956	0	0	0
to	1	0.02	0.89	0.45	0	0	0	285.956	0	0	0
computer	1	0.02	0.89	0.45	0	0	0	285.956	0	0	0
programs	1	0.02	0.89	0.45	0	0	0	285.956	0	0	0
that	1	0.02	0.89	0.45	0	0	0	285.956	0	0	0
produce	1	0.02	0.89	0.45	0	0	0	285.956	0	0	0
true	1	0.02	0.89	0.45	0	0	0	285.956	0	0	0
topological	1	0.02	0.89	0.45	0	0	0	285.956	0	0	0
chaos,	1	0.02	0.95	0.45	0	1	0	295.916	0	0	0
then	1	0.02	0.95	0.45	0	0	0	295.916	0	0	0
we	1	0.02	0.95	0.45	0	0	0	295.916	0	0	0
propose	1	0.02	0.95	0.45	0	0	0	295.916	0	0	0
applications	1	0.02	0.95	0.45	0	0	0	295.916	0	0	0
in	1	0.02	0.95	0.45	0	0	0	295.916	0	0	0
the	1	0.02	0.95	0.45	0	0	0	295.916	0	0	0
area	1	0.02	0.95	0.45	0	0	0	295.916	0	0	0
of	1	0.02	0.95	0.45	0	0	1	295.916	0	0	0
information	1	0.02	0.95	0.45	0	0	0	295.916	0	0	0
security.	1	0.02	1.0	0.45	0	0	0	305.876	0	0	0

