xxx	0	0	0.0	0	0	0	0
Computer	Science	0	0.0	2.39	2	2	0
Communities:	Their	0	0.0	2.39	2	2	0
Tanmoy	Chakraborty	0	0.0	1.1	2	2	0
Department	of	0	0.0	1.0	2	4	0
Indian	Institute	0	0.0	1.0	2	2	0
$$$	vihartsk@gmail.com	0	0.0	1.0	5	3	0
AbstractStudy	of	15	1.0	0.9	2	4	0
Keywordscommunity	analysis;	0	1.0	0.9	2	3	0
I.	INTRODUCTION	0	0.0	1.0	1	2	0
Detecting	clusters	7	0.0	1.0	2	4	0
Though	several	1	0.0	1.0	2	4	0
The	first	0	0.0	0.8	2	4	0
xxx	0	0	0.0	0	0	0	0
the	interactive	6	0.0	1.0	4	4	0
The	major	19	0.0	1.0	2	4	0
2013	IEEE/ACM	0	0.0	1.0	4	2	0
426	ASONAM'13,	0	0.0	0.81	4	2	0
xxx	0	0	0.0	0	0	0	0
we	adopt	3	0.0	1.0	4	4	0
Besides,	the	11	0.0	1.0	2	4	0
The	rest	6	0.0	1.0	2	4	0
II.	DATASET	0	0.0	0.88	1	2	0
xxx	0	0	0.0	0	0	0	0
The	traditional	10	0.0	0.99	2	4	0
1	http://arnetminer.org/citation,	0	0.0	0.76	1	3	0
TABLE	I.	0	0.0	0.69	0	1	0
xxx	0	0	0.0	0	0	0	0
Raw	Filtered	4	0.0	0.7	2	2	0
xxx	0	0	0.0	0	0	0	0
In	order	6	0.0	1.0	2	4	0
A.	Field	0	0.0	1.0	1	2	0
The	natural	17	0.0	1.0	2	4	0
2	http://academic.research.microsoft.com/	0	0.0	0.7	1	3	0
2013	IEEE/ACM	0	0.0	1.0	4	2	0
$$$	427	0	0.0	1.0	5	4	0
TABLE	II.	1	0.0	0.66	0	1	0
xxx	0	0	0.0	0	0	0	0
No.	Subject	16	0.04	0.66	2	2	0
B.	Continent	0	0.0	1.0	1	2	0
As	mentioned	16	0.0	1.0	2	4	0
Out	of	4	0.0	1.0	2	4	0
the	authors	3	0.0	1.0	4	4	0
TABLE	III.	0	0.0	0.71	0	1	0
xxx	0	0	0.0	0	0	0	0
Heuristics	Percentage	2	0.0	0.7	2	2	0
xxx	0	0	0.0	0	0	0	0
Since	our	12	0.0	0.99	2	4	0
2013	IEEE/ACM	0	0.0	1.0	4	2	0
$$$	428	0	0.0	1.0	5	4	0
1	10	0	0.0	0.54	1	1	0
$$$	0.5	0	0.0	0.54	5	4	0
1	0408	0	0.5	0.59	1	4	0
1	10	0	0.0	0.54	1	1	0
$$$	9403	0	1.0	0.65	5	4	0
1	10	0	0.0	0.54	1	1	0
$$$	0.5	0	0.0	0.54	5	4	0
$$$	1	0	0.0	0.54	5	1	0
0	Community	0	0.0	0.68	4	2	0
$$$	scoring	0	0.0	0.81	5	4	0
$$$	functions	0	0.0	0.81	5	4	0
1	10	0	0.0	0.54	1	1	0
$$$	1	0	0.0	0.54	5	1	0
$$$	0.5	0	0.0	0.54	5	4	0
1	10	0	0.0	0.54	1	1	0
1	10	0	0.0	0.54	1	1	0
1	10	0	0.0	0.54	1	1	0
$$$	6081	0	1.0	0.65	5	4	0
1	10	0	0.0	0.54	1	1	0
1	10	0	0.0	0.69	1	1	0
1	10	0	0.0	0.54	1	1	0
$$$	8208	0	1.0	0.65	5	4	0
1	10	0	0.0	0.54	1	1	0
1	10	0	0.0	0.54	1	1	0
1	10	0	0.0	0.54	1	1	0
$$$	6008	0	1.0	0.65	5	4	0
1	10	0	0.0	0.54	1	1	0
